Column1;name;is_matched
1;Allenburg;FALSCH
2;Gutstadt;FALSCH
3;Mohrungen;FALSCH
4;Preussisch-Holland;FALSCH
5;Wehlau;FALSCH
6;Eydkuhnen;FALSCH
7;Ruß;FALSCH
8;Neufahrwasser;FALSCH
9;Neustadt Westpreußen;FALSCH
10;Preussisch Stargard;FALSCH
11;Tiegenhof;FALSCH
12;Chodziehen;FALSCH
13;Scheidemühl;FALSCH
14;Hohensalza;FALSCH
15;Gostyn;FALSCH
16;Kempem;FALSCH
17;Oberwitzko;FALSCH
18;Rackwitz;FALSCH
19;Rawicz;FALSCH
20;Unruhstadt;FALSCH
21;Freiwaldau;FALSCH
22;Grunau;FALSCH
23;Haynau;FALSCH
24;Landeshut;FALSCH
25;Langenöls;FALSCH
26;Tiefenfurt;FALSCH
27;Warmbrunn;FALSCH
28;Ernsdorf;FALSCH
29;Guhrau;FALSCH
30;Langenbielau;FALSCH
31;Nimptsch;FALSCH
32;Ohlau;FALSCH
33;Steinau an der Oder;FALSCH
34;Wartenberg;FALSCH
35;Wohlau;FALSCH
36;Wüstegiersdorf;FALSCH
37;Wüstewaltersdorf;FALSCH
38;Constadt;FALSCH
39;Creuzburg;FALSCH
40;Grottkau;FALSCH
41;Kattowitz;FALSCH
42;Königshütte;FALSCH
43;Laurahütte;FALSCH
44;Lipine;FALSCH
45;Myslowitz;FALSCH
46;Neustadt ;FALSCH
47;Sohrau;FALSCH
48;Zaberze;FALSCH
49;Alt-Damm;FALSCH
50;Anclam;FALSCH
51;Bredow;FALSCH
52;Garz an der Oder;FALSCH
53;Grabow an der Oder;FALSCH
54;Greifenberg;FALSCH
55;Greifenhagen;FALSCH
56;Gülzow;FALSCH
57;Jasenitz;FALSCH
58;Naugard;FALSCH
59;Neutorney, Vorstadt von Stettin;FALSCH
60;Poelitz;FALSCH
61;Treptow an der Rega;FALSCH
62;Treptow an der Tollense;FALSCH
63;Ueckermünde;FALSCH
64;Callies;FALSCH
65;Coeslin;FALSCH
66;Lauenburg in Pommern;FALSCH
67;Polzin;FALSCH
68;Schievelbein;FALSCH
69;Stolp;FALSCH
70;Bergen auf Rügen;FALSCH
71;Damgarten;FALSCH
72;Eldena;FALSCH
73;Garz auf Rügen;FALSCH
74;Loitz;FALSCH
75;Putbus auf Rügen;FALSCH
76;Sagard;FALSCH
77;Triebsees;FALSCH
78;Alt-Landsberg;FALSCH
79;Cöpnick;FALSCH
80;Cremmen;FALSCH
81;Fehrberlin;FALSCH
82;Freyenstein;FALSCH
83;Freyenwalde;FALSCH
84;Jüterbogk;FALSCH
85;Neu-Lewin;FALSCH
86;Neuruppin;FALSCH
87;Neustadt an der Dosse;FALSCH
88;Nowawetz;FALSCH
89;Putlitz;FALSCH
90;Schwedt an der Oder;FALSCH
91;Straßburg;FALSCH
92;Straußberg;FALSCH
93;Wendisch-Buchholz;FALSCH
94;Werneuchen;FALSCH
95;Wriezen;FALSCH
96;Calau;FALSCH
97;Cüstrin;FALSCH
98;Cüstrin lange Vorstadt;FALSCH
99;Forst;FALSCH
100;Frankfurt Oder;FALSCH
101;Neuwedell;FALSCH
102;Schönfließ;FALSCH
103;Afen;FALSCH
104;Buckau;FALSCH
105;Calbe;FALSCH
106;Derenburg;FALSCH
107;Groß-Ammensleben;FALSCH
108;Klötze;FALSCH
109;Magdeburg;FALSCH
110;Mieste;FALSCH
111;Alte Neustadt;FALSCH
112;Neue Neustadt;FALSCH
113;Osterwieck;FALSCH
114;Salze;FALSCH
115;Staßfurth;FALSCH
116;Sudenburg;FALSCH
117;Tangerhütte;FALSCH
118;Wolmirstedt;FALSCH
119;Cönnern;FALSCH
120;Delitzsch;FALSCH
121;Elsterwerda;FALSCH
122;Gräfenhainischen;FALSCH
123;Herzberg bei Torgau;FALSCH
124;Hettstedt;FALSCH
125;Lauchhammer (Eisenwerk);FALSCH
126;Bourscheid;FALSCH
127;Mönchen Gladbach;FALSCH
128;Haan;FALSCH
129;Hüls;FALSCH
130;Lobberich;FALSCH
131;Moers;FALSCH
132;Mülheim an der Ruhr;FALSCH
133;Neuß;FALSCH
134;Opladen;FALSCH
135;Rade vorm Walde;FALSCH
136;Rheydt;FALSCH
137;Steele;FALSCH
138;St. Tönis;FALSCH
139;Werden an der Ruhr;FALSCH
140;Wermelskirchen;FALSCH
141;Wickrath;FALSCH
142;Köln;FALSCH
143;Erkelenz;FALSCH
144;Haaren;FALSCH
145;Stolberg;FALSCH
146;Adenau;FALSCH
147;Altenkirchen;FALSCH
148;Koblenz;FALSCH
149;Burgsteinfurt;FALSCH
150;Gütersloh;FALSCH
151;Herford;FALSCH
152;Barop;FALSCH
153;Kamen;FALSCH
154;Erwitte;FALSCH
155;Gevelsberg;FALSCH
156;Halver;FALSCH
157;Haspe;FALSCH
158;Haßlinghausen u. Hiddinghausen;FALSCH
159;Hemer;FALSCH
160;Herne;FALSCH
161;Lünen an der Lippe;FALSCH
162;Niedermaßen;FALSCH
163;Vörde;FALSCH
164;Wellinghofen;FALSCH
165;Wetter an der Ruhr;FALSCH
166;Grabe;FALSCH
167;Stützerbach;FALSCH
168;Thamsbrück;FALSCH
169;Tennstedt;FALSCH
170;Baumholder;FALSCH
171;Elversberg;FALSCH
172;Neunkichen;FALSCH
173;St. Johann-Saarbrücken;FALSCH
