Old;New;Townkey;Kreiskey
Allenburg;Allenberg;603;6
Gutstadt;Guttstadt;1302;13
Mohrungen;Morungen;1901;19
Preussisch-Holland;Preussisch Holland;2001;20
Wehlau;Welau;601;6
Eydkuhnen;;;
Ru§;;;
Neufahrwasser;;;
Neustadt Westpreußen;Neustadt;4402;44
Preussisch Stargard;Stargard;4101;41
Tiegenhof;;;
Chodziehen;Chodezen (Kolmaar);7602;76
Scheidemühl;Schneidemühl;7601;76
Hohensalza;Inowrazlaw;8001;80
Gostyn;Gostin;7202;72
Kempem;Kempen;6901;69
Oberwitzko;Obersitzko;6604;66
Rackwitz;Rackwiz;7004;70
Rawicz;Rawitsch;7201;72
Unruhstadt;Unruhstadt (Karge);7003;70
Freiwaldau;;;
Grunau;;;
Haynau;Hainau;18802;188
Landeshut;Landshut;19301;193
Langenöls;;;
Tiefenfurt;;;
Warmbrunn;;;
Ernsdorf;;;
Guhrau;Gurau;14801;148
Langenbielau;;;
Nimptsch;Nimtsch;15601;156
Ohlau;Olau;15301;153
Steinau an der Oder;Steinau;14901;149
Wartenberg;Wartenberg (Gross);14401;144
Wohlau;Wolau;15001;150
Wüstegiersdorf;;;
Wüstewaltersdorf;;;
Constadt;Konstadt;16503;165
Creuzburg;Kreutzburg;16501;165
Grottkau;Grotkau;18002;180
Kattowitz;;;
Königshütte;;;
Laurahütte;;;
Lipine;;;
Myslowitz;;;
Neustadt ;Neustadt;17702;177
Sohrau;Sorau;17301;173
Zaberze;;;
Alt-Damm;Damm (Altdamm);12103;121
Anclam;Anklam;11801;118
Bredow;;;
Garz an der Oder;Garz;12102;121
Grabow an der Oder;;;
Greifenberg;Greiffenberg;12702;127
Greifenhagen;Greiffenhagen;12201;122
GŸlzow;;;
Jasenitz;;;
Naugard;Naugardt;12502;125
Neutorney, Vorstadt von Stettin;;;
Poelitz;Pölitz;12104;121
Treptow an der Rega;Treptow a.d.Rega;12701;127
Treptow an der Tollense;Treptow a. Toll.;11702;117
UeckermŸnde;Uckermünde;12002;120
Callies;Kallies;13003;130
Coeslin;Cöslin;13302;133
Lauenburg in Pommern;Lauenburg;13701;137
Polzin;Plozin;13202;132
Schievelbein;Schiefelbein;12901;129
Stolp;Stolpe;13601;136
Bergen auf Rügen;Bergen;13901;139
Damgarten;Dammgarten;14004;140
Eldena;;;
Garz auf Rügen;Garz;13902;139
Loitz;Loiz;14201;142
Putbus auf Rügen;;;
Sagard;;;
Triebsees;Tribsees;14202;142
Alt-Landsberg;Alt-Landberg;8904;89
Cšpnick;Köpnick;9102;91
Cremmen;Kremmen;9503;95
Fehrberlin;Fehrbellin;9504;95
Freyenstein;;;
Freyenwalde;Freienwalde;8804;88
Jüterbogk;Jüterbock;9201;92
Neu-Lewin;;;
Neuruppin;Neu-Ruppin;9701;97
Neustadt an der Dosse;Neustadt a. D.;9707;97
Nowawetz;;;
Putlitz;Puttlitz;9906;99
Schwedt an der Oder;Schwedt;8701;87
Straßburg;Strassburg;8502;85
Straußberg;Straussberg;8803;88
Wendisch-Buchholz;Buchholz (Wendisch);9003;90
Werneuchen;;;
Wriezen;Wrietzen;8801;88
Calau;Kalau;11302;113
Cüstrin;Küstrin;10001;100
Cüstrin lange Vorstadt;;;
Forst;Forste;11502;115
Frankfurt Oder;Frankfurt a.d.O.;10601;106
Neuwedell;Neuwedel;10203;102
Schönfließ;Schönfliess;10005;100
Afen;Aken;20603;206
Buckau;Magdeburg (mit Vorstädten);20700;207
Calbe;Calbe a.d. Saale;20602;206
Derenburg;Derenberg;21304;213
Groß-Ammensleben;;;
Klötze;;;
Magdeburg;Magdeburg (mit Vorstädten);20700;207
Mieste;;;
Alte Neustadt;Magdeburg (mit Vorstädten);20700;207
Neue Neustadt;Magdeburg (mit Vorstädten);20700;207
Osterwieck;Osterwiek;21302;213
Salze;Gr. Salze;20605;206
Staßfurth;Stassfurt;20606;206
Sudenburg;Magdeburg (mit Vorstädten);20700;207
Tangerhütte;;;
Wolmirstedt;Wollmirstädt;20901;209
Cönnern;Könnern;22102;221
Delitzsch;Delitsch;22002;220
Elsterwerda;;;
Gräfenhainischen;Gräfenhainchen;21904;219
Herzberg bei Torgau;Herzberg;21701;217
Hettstedt;;;
Lauchhammer (Eisenwerk);;;
Bourscheid;Burscheid mit Leichlingen;29602;296
Mönchen Gladbach;Gladbach;29903;299
Haan;;;
Hüls;;;
Lobberich;;;
Moers;Meurs;29003;290
Mülheim an der Ruhr;Mühlheim a.d.Ruhr;28901;289
Neuß;Neuss;29701;297
Opladen;Opladen mit Neukirchen;29607;296
Rade vorm Walde;Rade v.d.Walde;29506;295
Rheydt;Rheid;29902;299
Steele;Steele;28907;289
St. Tönis;;;
Werden an der Ruhr;Werden;28904;289
Wermelskirchen;;;
Wickrath;;;
Köln;Cöln;28101;281
Erkelenz;Erkelens;32501;325
Haaren;;;
Stolberg;Stollberg;33103;331
Adenau;;;
Altenkirchen;;;
Koblenz;Coblenz;30101;301
Burgsteinfurt;Steinfurt (Burgsteinfurt);24701;247
Gütersloh;Güterslohe;25701;257
Herford;Herfort;25401;254
Barop;;;
Kamen;Camen;26703;267
Erwitte;;;
Gevelsberg;;;
Halver;;;
Haspe;;;270
Haßlinghausen u. Hiddinghausen;;;
Hemer;;;
Herne;;;
Lünen an der Lippe;Lünen;26802;268
Niederma§en;;;267
Vörde;;;
Wellinghofen;;;268
Wetter an der Ruhr;;;
Grabe;;;
Stützerbach;;;
Thamsbrück;Thamsbrück;23603;236
Tennstedt;Tennstädt;23602;236
Baumholder;;;
Elversberg;;;
Neunkichen;;;323
St. Johann-Saarbrücken;Saarbrücken;32201;322
